﻿ID de l'entité;Code INSEE;Date de mise à jour;Type d'entité;Nom de l'entité;Editeur de la source;Commune;Adresse;Code Postal;Coordonnées;Email;URL;Notes;EPCI;Département;Région
msap-2A312-01;2A312;2020-11-16;Msap;Maison de services au public (MSAP) - Santa-Maria-Siché;La Direction de l'information légale et administrative (Premier ministre);Santa-Maria-Siché;Quartier Nociarato;20190;41.880342, 8.976358;msap.santa-maria-siche@laposte.fr;https://www.maisondeservicesaupublic.frcontent/santa-maria-siche-bureau-de-poste;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
mairie-2B025-01;2B025;2021-03-08;Mairie;Mairie - Avapessa;La Direction de l'information légale et administrative (Premier ministre);Avapessa;Avapessa;20225;42.5609817505, 8.89384937286;mairie.avapessa@wanadoo.fr;http://www.avapessa.fr;;CC de Calvi Balagne;HAUTE-CORSE;CORSE
mairie-2B039-01;2B039;2021-03-08;Mairie;Mairie - Bisinchi;La Direction de l'information légale et administrative (Premier ministre);Bisinchi;Village;20235;42.477028, 9.324222;mairie.bisinchi@wanadoo.fr;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
mairie-2B101-01;2B101;2017-07-12;Mairie;Mairie - Croce;La Direction de l'information légale et administrative (Premier ministre);Croce;Croce;20237;42.413765, 9.363749;;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
mairie-2B190-01;2B190;2017-05-10;Mairie;Mairie - Olmi-Cappella;La Direction de l'information légale et administrative (Premier ministre);Olmi-Cappella;Établissement Battaglini;20259;42.5256690979, 9.0195016861;mairie-olmi-cappella@wanadoo.fr;http://www.olmi.cappella.fr;;CC de l'Ile-Rousse - Balagne;HAUTE-CORSE;CORSE
tresorerie-2B042-01;2B042;2018-02-12;Tresorerie;Trésorerie de Borgo Campile;La Direction de l'information légale et administrative (Premier ministre);Borgo;Centre commercial Monte Stello;20290;42.554742, 9.424047;t02b004@dgfip.finances.gouv.fr;http://www.impots.gouv.fr;;CC de Marana-Golo;HAUTE-CORSE;CORSE
;2A249;;;Propriano;;;;;;;;;CC du Sartenais Valinco Taravo;CORSE-DU-SUD;CORSE
afpa-2A004-01;2A004;2021-09-20;Afpa;Agence nationale pour la formation professionnelle des adultes (Afpa) - Direction régionale Corse;La Direction de l'information légale et administrative (Premier ministre);Sarrola-Carcopino;Le Yolanda;20167;41.92846, 8.73464;;https://www.afpa.fr;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2A132-01;2A132;2013-02-27;Mairie;Mairie - Guarguale;La Direction de l'information légale et administrative (Premier ministre);Guarguale;Le Village;20128;41.8364067078, 8.92638969421;;;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
;2A181;;;Ocana;;;;;;;;;CC Celavu-Prunelli;CORSE-DU-SUD;CORSE
;2A345;;;Vero;;;;;;;;;CC Celavu-Prunelli;CORSE-DU-SUD;CORSE
mairie-2B140-01;2B140;2017-05-10;Mairie;Mairie - Lento;La Direction de l'information légale et administrative (Premier ministre);Lento;"[""Village de Lento"", ""Casa Cumuna""]";20252;42.521433, 9.280059;mairie.lento@orange.fr;http://www.lentu.fr;;CC de Marana-Golo;HAUTE-CORSE;CORSE
mairie-2B293-01;2B293;2021-03-08;Mairie;Mairie - Sant'Andréa-di-Cotone;La Direction de l'information légale et administrative (Premier ministre);Sant'Andréa-di-Cotone;Lieu-dit Ciglio;20221;42.3097991943, 9.47539043427;mairie.santandreacotone@orange.fr;;;CC de la Costa Verde;HAUTE-CORSE;CORSE
mairie-2B328-01;2B328;2022-05-05;Mairie;Mairie - Tox;La Direction de l'information légale et administrative (Premier ministre);Tox;Le Village;20270;42.2512779236, 9.42984867096;mairiedetox@orange.fr;;;CC de l'Oriente;HAUTE-CORSE;CORSE
;2A158;;;Mela;;;;;;;;;CC de l'Alta Rocca;CORSE-DU-SUD;CORSE
;2B170;;;Morsiglia;;;;;;;;;CC du Cap Corse;HAUTE-CORSE;CORSE
;2B303;;;San-Giuliano;;;;;;;;;CC de la Costa Verde;HAUTE-CORSE;CORSE
mairie-2A336-01;2A336;2021-03-08;Mairie;Mairie - Valle-di-Mezzana;La Direction de l'information légale et administrative (Premier ministre);Valle-di-Mezzana;Poggiale;20167;42.021812439, 8.82689762115;valle-di-mezzana@orange.fr;http://www.valle-di-mezzana.corsica;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mission_locale-2A247-01;2A247;2019-06-17;Mission locale;Mission locale pour l'insertion professionnelle et sociale des jeunes (16-25 ans) - Porto-Vecchio;La Direction de l'information légale et administrative (Premier ministre);Porto-Vecchio;Rue Vincentellu-d'Istria;20137;41.5997595, 9.2720983;milopovosudcorse@ml-corse.corsica;http://www.missions-locales-corse.org;;CC du Sud Corse;CORSE-DU-SUD;CORSE
gendarmerie-2B050-01;2B050;2019-01-22;Gendarmerie;Brigade de gendarmerie - Calvi;La Direction de l'information légale et administrative (Premier ministre);Calvi;Route de Porto;20260;42.56520481, 8.74653671;https://www.contacterlagendarmerie.fr;http://www.gendarmerie.interieur.gouv.fr;;CC de Calvi Balagne;HAUTE-CORSE;CORSE
mairie-2B307-01;2B307;2021-03-08;Mairie;Mairie - Santa-Lucia-di-Moriani;La Direction de l'information légale et administrative (Premier ministre);Santa-Lucia-di-Moriani;RT 10;20230;42.3852372, 9.5172926;msldm@orange.fr;;;CC de la Costa Verde;HAUTE-CORSE;CORSE
;2B043;;;Brando;;;;;;;;;CC du Cap Corse;HAUTE-CORSE;CORSE
;2B206;;;Penta-Acquatella;;;;;;;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
;2B219;;;Piedicroce;;;;;;;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
;2B311;;;Santa-Maria-Poggio;;;;;;;;;CC de la Costa Verde;HAUTE-CORSE;CORSE
chambre_notaires-2A004-01;2A004;2019-02-27;Chambre notaires;Chambre départementale des notaires - Corse-du- Sud;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;"[""19 cours Général Leclerc"", ""Résidence Napoléon""]";20000;41.916872, 8.726977;chambre2a@notaires.fr;http://www.cr-corse.notaires.fr/les-chambres-departementales.html;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
caf-2B096-01;2B096;2021-09-20;Caf;Caisse d'allocations familiales (Caf) de Haute-Corse - accueil de Corte;La Direction de l'information légale et administrative (Premier ministre);;;;;http://www.caf.frallocataires/ma-caf-recherche;https://www.caf.fr;;CC du Centre Corse;HAUTE-CORSE;CORSE
mairie-2B079-01;2B079;2018-05-09;Mairie;Mairie - Castello-di-Rostino;La Direction de l'information légale et administrative (Premier ministre);Castello-di-Rostino;Lieu-dit Pastureccia;20235;42.4577789307, 9.3116350174;mairie.castelludirustinu@wanadoo.fr;http://www.castellu-di-rustinu.corsica;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
mairie-2B301-01;2B301;2022-01-31;Mairie;Mairie - San-Gavino-di-Tenda;La Direction de l'information légale et administrative (Premier ministre);San-Gavino-di-Tenda;Hameau Chiesa;20246;42.59808, 9.264734;sangavinoditenda@orange.fr;;;CC Nebbiu - Conca d'Oro;HAUTE-CORSE;CORSE
;2A189;;;Olmeto;;;;;;;;;CC du Sartenais Valinco Taravo;CORSE-DU-SUD;CORSE
mairie-2A295-01;2A295;2021-03-08;Mairie;Mairie - Sant'Andréa-d'Orcino;La Direction de l'information légale et administrative (Premier ministre);Sant'Andréa-d'Orcino;"[""Ancienne École"", ""Route Départementale""]";20151;42.047303, 8.800703;mairie.santandreadorcino@orange.fr;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
cnfpt-2B033-01;2B033;2018-03-08;Cnfpt;Centre national de la fonction publique territoriale (CNFPT) - Antenne départementale - Haute-Corse;La Direction de l'information légale et administrative (Premier ministre);Bastia;"[""Résidence des Jardins de Bastia"", ""Bâtiment A"", ""Chemin de l'Annonciade""]";20200;42.7042007446, 9.44690990448;;http://www.cnfpt.fr;;CA de Bastia;HAUTE-CORSE;CORSE
epci-2B050-01;2B050;2022-04-12;Epci;Communauté de communes - Calvi Balagne;La Direction de l'information légale et administrative (Premier ministre);Calvi;4 bis avenue du Commandant-Marche;20260;42.567651, 8.757222;accueil@cc-calvi-balagne.fr;http://www.cc-calvi-balagne.fr;;CC de Calvi Balagne;HAUTE-CORSE;CORSE
;2B354;;;Vivario;;;;;;;;;CC du Centre Corse;HAUTE-CORSE;CORSE
;2B302;;;San-Giovanni-di-Moriani;;;;;;;;;CC de la Costa Verde;HAUTE-CORSE;CORSE
mairie-2B063-01;2B063;2022-05-17;Mairie;Mairie - Carcheto-Brustico;La Direction de l'information légale et administrative (Premier ministre);Carcheto-Brustico;Lieu-dit U-Corsu;20229;42.3596572876, 9.3702507019;mairiecarcheto.brustico@wanadoo.fr;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
mairie-2B305-01;2B305;2021-03-08;Mairie;Mairie - San-Martino-di-Lota;La Direction de l'information légale et administrative (Premier ministre);San-Martino-di-Lota;"[""Route du Cap"", ""BP 32""]";20200;42.7284856, 9.459131;mairie@sanmartino.corsica;http://www.san-martino-di-lota.fr;;CA de Bastia;HAUTE-CORSE;CORSE
pif-2A004-01;2A004;2021-09-20;Pif;Point info famille - Ajaccio - Maréchal-Lyautey;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;Avenue Maréchal-Lyautey;20090;41.9379483, 8.7447941;udaf2a@udaf2a.fr;https://www.unaf.frspip.php?article1562;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2B250-01;2B250;2021-03-08;Mairie;Mairie - Prunelli-di-Casacconi;La Direction de l'information légale et administrative (Premier ministre);Prunelli-di-Casacconi;Place Saint-Quilicus;20290;42.5042228699, 9.40237045288;mairie.prunelli-di-casacconi@orange.fr;https://www.prunellidicasacconi.com;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
;2B343;;;Venzolasca;;;;;;;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
gendarmerie-2A269-01;2A269;2019-01-22;Gendarmerie;Brigade de gendarmerie - Sari-Solenzara;La Direction de l'information légale et administrative (Premier ministre);Sari-Solenzara;Route de Sari;20145;41.8365985248529, 9.37324715476984;https://www.contacterlagendarmerie.fr;http://www.gendarmerie.interieur.gouv.fr;;CC de l'Alta Rocca;CORSE-DU-SUD;CORSE
cci-2B123-01;2B123;2021-07-27;Cci;Chambre de commerce et d'industrie (CCI) 20 - Haute-Corse - Antenne de Ghisonaccia;La Direction de l'information légale et administrative (Premier ministre);Ghisonaccia;"[""Place de l'Hôtel de ville"", ""RN 198""]";20240;42.016928, 9.403943;antenne.ghisonaccia@ccihc.fr;http://www.ccihc.fr;;CC de Fium'orbu Castellu;HAUTE-CORSE;CORSE
mairie-2B097-01;2B097;2021-04-09;Mairie;Mairie - Costa;La Direction de l'information légale et administrative (Premier ministre);Costa;"[""Castellu Vechju"", ""Place du Village""]";20226;42.5751724243, 9.00249671936;commune-de-costa@orange.fr;;;CC de l'Ile-Rousse - Balagne;HAUTE-CORSE;CORSE
;2B116;;;Focicchia;;;;;;;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
;2B122;;;Gavignano;;;;;;;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
;2A141;;;Letia;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
;2A065;;;Cargèse;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
clic-2A272-01;2A272;2018-04-12;Clic;Point d'information local dédié aux personnes âgées - Sartène;La Direction de l'information légale et administrative (Premier ministre);Sartène;"[""Centre local d'information et de coordination - territoire de l'arrondissement de Sartène"", ""24 cour Soeur-Amélie""]";20100;41.618908, 8.973064;clic.sartene@corsedusud.fr;;;CC du Sartenais Valinco Taravo;CORSE-DU-SUD;CORSE
mairie-2A064-01;2A064;2021-03-08;Mairie;Mairie - Cardo-Torgia;La Direction de l'information légale et administrative (Premier ministre);Cardo-Torgia;Le Village;20190;41.868434, 8.978851;cardo-torgia@orange.fr;;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
mairie-2A117-01;2A117;2021-03-08;Mairie;Mairie - Forciolo;La Direction de l'information légale et administrative (Premier ministre);Forciolo;Valdo;20190;41.85366, 9.01019;communedeforciolo@orange.fr;;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
pmi-2A004-01;2A004;2021-04-12;Pmi;Centre de protection maternelle et infantile (PMI) - Ajaccio;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;21 bis rue Delpellegrino;20090;41.928666, 8.738761;;;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
caf-2B123-01;2B123;2021-09-20;Caf;Caisse d'allocations familiales (Caf) de Haute-Corse - accueil de Ghisonaccia;La Direction de l'information légale et administrative (Premier ministre);;;;;http://www.caf.frallocataires/ma-caf-recherche;https://www.caf.fr;;CC de Fium'orbu Castellu;HAUTE-CORSE;CORSE
mairie-2B125-01;2B125;2021-03-08;Mairie;Mairie - Giocatojo;La Direction de l'information légale et administrative (Premier ministre);Giocatojo;Village;20237;42.4436988831, 9.34904956818;mairie.giocatojo@wanadoo.fr;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
mairie-2B236-01;2B236;2021-03-08;Mairie;Mairie - Poggio-di-Nazza;La Direction de l'information légale et administrative (Premier ministre);Poggio-di-Nazza;Chiesa;20240;42.056885, 9.29808;mairie.poggio-di-nazza@orange.fr;http://www.poggiodinazza.com;;CC de Fium'orbu Castellu;HAUTE-CORSE;CORSE
mairie-2B291-01;2B291;2018-10-18;Mairie;Mairie - Stazzona;La Direction de l'information légale et administrative (Premier ministre);Stazzona;Stazzona;20229;42.370222, 9.371866;stazzona.mairie@laposte.net;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
mairie-2B297-01;2B297;2017-09-26;Mairie;Mairie - San Damiano;La Direction de l'information légale et administrative (Premier ministre);San-Damiano;Hameau de Alzi;20213;42.406047, 9.414592;;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
prefecture_greffe_associations-2B033-01;2B033;2022-03-10;Prefecture greffe associations;Greffe des associations - Haute-Corse (Bastia);La Direction de l'information légale et administrative (Premier ministre);Bastia;Rond-point Maréchal-Leclerc-de-Hautecloque;20200;42.70337909004094, 9.448530633134384;pref-associations@haute-corse.gouv.fr;http://www.haute-corse.gouv.frpour-les-associations-r338.html;Accueil téléphonique uniquement.;CA de Bastia;HAUTE-CORSE;CORSE
;2B005;;;Alando;;;;;;;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
;2B296;;;Sant'Antonino;;;;;;;;;CC de Calvi Balagne;HAUTE-CORSE;CORSE
mairie-2A129-01;2A129;2021-03-08;Mairie;Mairie - Grossa;La Direction de l'information légale et administrative (Premier ministre);Grossa;Village;20100;41.609326, 8.877717;mairie.grossa@orange.fr;;;CC du Sartenais Valinco Taravo;CORSE-DU-SUD;CORSE
pif-2A004-02;2A004;2020-09-15;Pif;Point info famille - Ajaccio - Les Hauts de Bodiccione;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;"[""Centre d'information sur les droits des femmes et des familles de la Corse-du-Sud"", ""Les Hauts de Bodiccionne"", ""Immeuble le Ciste"", ""BP 532""]";20189;41.9393447, 8.7205877;cidf@wanadoo.fr;https://www.unaf.fr;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
tresorerie-2A004-03;2A004;2021-11-02;Tresorerie;Service de gestion comptable (SGC) d'Ajaccio;La Direction de l'information légale et administrative (Premier ministre);Ajaccio Cedex 1;"[""BP 144"", ""Résidence Diamant 1"", ""avenue Eugène Macchini""]";20177;41.917887, 8.737026;t02a003@dgfip.finances.gouv.fr;http://www.impots.gouv.fr;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2B182-01;2B182;2021-03-08;Mairie;Mairie - Occhiatana;La Direction de l'information légale et administrative (Premier ministre);Occhiatana;Place de l'Église;20226;42.5737419128, 9.00868797302;occhiatana@wanadoo.fr;;;CC de l'Ile-Rousse - Balagne;HAUTE-CORSE;CORSE
mairie-2B306-01;2B306;2021-03-08;Mairie;Mairie - Santa-Lucia-di-Mercurio;La Direction de l'information légale et administrative (Premier ministre);Santa-Lucia-di-Mercurio;Santa-Lucia-di-Mercurio;20250;42.3274497986, 9.22085475922;mairie.santaluciadimercoriu@orange.fr;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
;2A090;;;Coggia;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
;2B252;;;Pruno;;;;;;;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
;2B033;;;Bastia;;;;;;;;;CA de Bastia;HAUTE-CORSE;CORSE
;2B162;;;Moltifao;;;;;;;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
draf-2A004-01;2A004;2018-07-20;Draf;Direction régionale de l'alimentation, de l'agriculture et de la forêt (DRAAF) - Corse;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;"[""Le Solférino"", ""8 cours Napoléon""]";20000;41.919516, 8.737147;draaf-corse@agriculture.gouv.fr;http://draaf.corse.agriculture.gouv.fr;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
onac-2A004-01;2A004;2021-12-20;Onac;Office national des anciens combattants et victimes de guerre (ONACVG) - Service départemental - Corse-du-Sud;La Direction de l'information légale et administrative (Premier ministre);Ajaccio Cedex 1;"[""CS 30271"", ""18 avenue Colonel-Colonna-d'Ornano""]";20180;41.928783, 8.73484;https://www.onac-vg.fr/contact;https://www.onac-vg.fr;Sur rendez-vous le vendredi après-midi;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2B171-01;2B171;2021-03-08;Mairie;Mairie - Muracciole;La Direction de l'information légale et administrative (Premier ministre);Muracciole;Le Village;20219;42.1695747375, 9.18347358704;commune-muracciole@wanadoo.fr;;;CC du Centre Corse;HAUTE-CORSE;CORSE
mairie-2B176-01;2B176;2018-05-09;Mairie;Mairie - Nocario;La Direction de l'information légale et administrative (Premier ministre);Nocario;Lieu-dit Saint-Michel;20229;42.3981018066, 9.35212039948;mairiedenocario@orange.fr;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
;2A056;;;Campo;;;;;;;;;CC de la Pieve de l'Ornano;CORSE-DU-SUD;CORSE
;2A031;;;Bastelica;;;;;;;;;CC Celavu-Prunelli;CORSE-DU-SUD;CORSE
;2A300;;;San-Gavino-di-Carbini;;;;;;;;;CC de l'Alta Rocca;CORSE-DU-SUD;CORSE
mairie-2B116-01;2B116;2021-03-08;Mairie;Mairie - Focicchia;La Direction de l'information légale et administrative (Premier ministre);Focicchia;Le Village;20212;42.2502937317, 9.29525566101;mairie-focicchia@orange.fr;http://www.focicchia.corsica;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
mairie-2B193-01;2B193;2020-03-10;Mairie;Mairie - Omessa;La Direction de l'information légale et administrative (Premier ministre);Omessa;Le Village;20236;42.3707275391, 9.19874477386;mairie-omessa@orange.fr;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
mairie-2B316-01;2B316;2021-03-08;Mairie;Mairie - Santa-Reparata-di-Balagna;La Direction de l'information légale et administrative (Premier ministre);Santa-Reparata-di-Balagna;Mairie;20220;42.6042, 8.929852;mairie.santareparata@wanadoo.fr;http://www.santareparata.fr;;CC de l'Ile-Rousse - Balagne;HAUTE-CORSE;CORSE
;2B226;;;Pietraserena;;;;;;;;;CC de l'Oriente;HAUTE-CORSE;CORSE
banque_de_france-2A004-01;2A004;2022-02-08;Banque de france;Banque de France - Succursale régionale - Ajaccio;La Direction de l'information légale et administrative (Premier ministre);Ajaccio Cedex 1;"[""8 rue Sergent-Casalonga"", ""BP 315""]";20177;41.9200837, 8.7353451;;https://accueil.banque-france.fr;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
inspection_academique-2A004-01;2A004;2018-05-30;Inspection academique;Direction des services départementaux de l'Éducation nationale  (DSDEN) - Corse-du-Sud;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;Boulevard Pugliesi-Conti;20000;41.914025, 8.72639;ce.ia2a@ac-corse.fr;http://web.ac-corse.fr/ia2a/;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2A270-01;2A270;2021-03-08;Mairie;Mairie - Sari-d'Orcino;La Direction de l'information légale et administrative (Premier ministre);Sari-d'Orcino;Le Village;20151;42.0623664856, 8.82437610626;mairie@saridorcino.fr;http://www.saridorcino.fr;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
pole_emploi-2A004-01;2A004;2020-09-15;Pole emploi;Pôle emploi - Ajaccio;La Direction de l'information légale et administrative (Premier ministre);Ajaccio Cedex 9;"[""Avenue du Mont-Thabor"", ""BP 937""]";20000;41.936955, 8.759843;;https://www.pole-emploi.fr;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
prefecture_greffe_associations-2A004-01;2A004;2018-02-14;Prefecture greffe associations;Greffe des associations - Corse du Sud (Ajaccio);La Direction de l'information légale et administrative (Premier ministre);Ajaccio Cedex 9;"[""Préfecture de Corse-du-Sud"", ""Palais Lantivy"", ""Cours Napoléon""]";20188;41.9254665, 8.7381252;christine.campana@corse-du-sud.gouv.fr;http://www.corse.gouv.fr;Accueil téléphonique du lundi au vendredi de 8h30 à 12h et de 14h à 16h45.;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
tribunal_commerce-2B033-01;2B033;2022-04-08;Tribunal commerce;Tribunal de commerce de Bastia;Ministère de la Justice;BASTIA CEDEX;"[""ROND POINT DE MORO GIAFFERI"", ""BP 345""]";20297;42.695637, 9.446524;;;;CA de Bastia;HAUTE-CORSE;CORSE
;2A348;;;Vico;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
mairie-2A114-01;2A114;2021-03-08;Mairie;Mairie - Figari;La Direction de l'information légale et administrative (Premier ministre);Figari;Place des Magnolias;20114;41.4882354736, 9.12972259521;accueil@mairiedefigari.corsica;http://www.figari.fr;;CC du Sud Corse;CORSE-DU-SUD;CORSE
mairie-2A215-01;2A215;2021-03-08;Mairie;Mairie - Pianottoli-Caldarello;La Direction de l'information légale et administrative (Premier ministre);Pianottoli-Caldarello;Pianottoli;20131;41.4944145, 9.056255;mairie.pica@gmail.com;;;CC du Sud Corse;CORSE-DU-SUD;CORSE
epci-2B313-01;2B313;2022-04-12;Epci;Communauté de communes - Costa Verde;La Direction de l'information légale et administrative (Premier ministre);San-Nicolao;"[""Maison du développement"", ""430 route de Moriani""]";20230;42.374106, 9.529727;contact@costa-verde.fr;http://www.costa-verde.fr;;CC de la Costa Verde;HAUTE-CORSE;CORSE
mairie-2B113-01;2B113;2021-03-08;Mairie;Mairie - Ficaja;La Direction de l'information légale et administrative (Premier ministre);Ficaja;Village;20237;42.4220962524, 9.36858940125;mairieficaja@wanadoo.fr;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
mairie-2B273-01;2B273;2018-05-09;Mairie;Mairie - Scata;La Direction de l'information légale et administrative (Premier ministre);Scata;Le Village;20213;42.4624816, 9.4672676;mairie.scata@orange.fr;;;CC de la Castagniccia-Casinca;HAUTE-CORSE;CORSE
;2A070;;;Casaglione;;;;;;;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
;2B003;;;Aiti;;;;;;;;;CC Pasquale Paoli;HAUTE-CORSE;CORSE
;2B025;;;Avapessa;;;;;;;;;CC de Calvi Balagne;HAUTE-CORSE;CORSE
droit_travail-2A004-01;2A004;2021-09-22;Droit travail;Service de renseignement en droit du travail - Corse-du-Sud;La Direction de l'information légale et administrative (Premier ministre);Ajaccio;"[""DDETSPP - Corse-du-Sud"", ""Avenue Napoleon III"", ""Immeuble le Beauce"", ""Parc San Lazaro""]";20000;41.925203130942855, 8.734748837410356;ddetspp-renseignements@corse-du-sud.gouv.fr;https://corse.dreets.gouv.fr/Contacter-la-DREETS;;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
mairie-2A022-01;2A022;2021-03-08;Mairie;Mairie - Arro;La Direction de l'information légale et administrative (Premier ministre);Arro;Le Village;20151;42.0932273865, 8.81468963623;mairie.arro@wanadoo.fr;;;CC Spelunca-Liamone;CORSE-DU-SUD;CORSE
afpa-2B033-01;2B033;2021-09-20;Afpa;Agence nationale pour la formation professionnelle des adultes (Afpa) - Centre de Bastia;La Direction de l'information légale et administrative (Premier ministre);Bastia;10 bis rue Émile-Sari;20200;48.862725, 2.287592;;https://www.afpa.fr;;CA de Bastia;HAUTE-CORSE;CORSE
